Identifier,F518_21h,F518_29h,F518_33h,F518_37h,F518_41h,F518_45h,F518_49h,F518_53h,F518_57h
SCO7255,6.111757351,6.325826425,6.826038217,7.085466425,7.377297117,7.063179346,7.134735268,7.079607324,7.009118891
SCO7256,7.334507107,7.629550296,8.164620589,7.844187534,8.221284823,8.055041187,8.034307109,8.056699813,7.967332578
SCO7257,6.845511931,9.354410046,9.686912152,9.842477879,9.429502649,9.358284239,9.336823795,9.336166711,9.533788975
SCO7258,8.673019594,8.850872632,7.834727684,8.057427005,7.586949604,7.842662692,7.966678906,7.945807411,8.385691048
SCO7259,6.270442371,6.528282174,6.720091597,6.698882149,6.667492372,6.490245061,6.62530255,6.658209762,6.456149634
SCO7260,8.12535497,8.962396759,8.349804456,8.658363817,8.036687063,8.470130146,8.774527207,8.263794794,8.603230214
SCO7261,5.324267269,5.25067723,4.682633121,4.320663314,4.882050775,5.052664316,4.903808091,4.589312258,4.967834532
SCO7262,0.818362999,0.757839316,2.289634618,0.950840001,2.210602418,1.252438739,2.644395,2.539700194,0.77052428
SCO7263,4.79341515,4.836611963,5.664042157,4.815873021,5.63212673,5.379793391,5.47167598,5.271645732,5.428165451
SCO7264,6.660965226,6.388849782,6.466373965,5.868727359,6.532536888,6.196088128,5.961413087,6.198606001,6.162202198
SCO7265,9.264665108,9.163870811,8.801367349,9.260915241,8.575310471,8.866083661,8.916539091,8.879192207,9.299631655
SCO7266,8.41176298,8.508782193,8.133548848,8.799201052,8.112842381,8.233040818,8.396719012,8.316471416,8.702814456
SCO7267,5.843215066,4.930062507,4.478143237,5.225017326,4.896246956,5.135921417,4.74507334,5.078115355,4.868604434
SCO7268,6.619227455,6.011559061,6.970183926,7.14889616,6.965461387,6.762326276,6.658317811,6.685955524,6.526546142
SCO7269,8.581618588,9.160505442,8.457369624,9.400882346,9.350684777,9.708795216,9.766079594,9.862628976,10.16811801
SCO7270,7.56531807,7.434910002,6.728239219,7.143958525,7.30528322,7.494058588,7.523831539,7.537210858,7.547353357
SCO7271,8.62578296,8.055703397,7.548012546,7.558131072,7.68781577,7.759212795,7.678665111,7.695217894,7.968917903
SCO7272,6.01596652,5.614472612,5.269871416,5.636012285,5.456802731,5.801811805,5.53356057,5.726442062,5.816775025
SCO7273,5.884786722,6.376761219,5.223732336,5.456755265,5.538653551,5.741308086,5.509744413,5.697167305,6.130618332
SCO7274,5.578686666,5.720720258,6.369622049,6.536788201,7.057040567,6.510769165,6.528791639,6.840851658,6.121972125
SCO7275,5.82921643,6.098144611,5.004668045,5.191319794,5.318852935,5.475024875,5.642959781,5.515521435,5.766334254
SCO7276,7.378674693,7.608582956,6.979349533,7.680950198,7.101174601,7.354490026,7.538610151,7.257519625,7.475895125
SCO7277,9.29792465,9.520416835,8.916628669,9.60049723,9.066705403,9.405781819,9.569822872,9.220174743,9.555470551
SCO7278,11.50731812,11.76106323,11.88418396,11.97465347,11.55930705,11.66230402,11.6293519,11.48930688,11.47857284
SCO7279,6.402257905,6.801387465,4.930408382,6.001595679,5.361264898,5.923549552,6.087019747,6.274188729,7.285441379
SCO7280,6.346484013,6.334144096,5.574800278,6.184475816,5.894125612,5.955881881,5.632701832,5.963883276,6.654556377
SCO7281,5.400601805,5.730694827,5.568545282,5.166759111,5.654400843,5.726640577,5.440657444,5.676689732,6.444030492
SCO7282,4.657589121,4.040176532,4.809767056,4.76678258,4.748785763,4.639020486,4.398657189,4.384137853,4.864435515
SCO7283,6.250453991,6.159962621,6.443157688,6.168995457,6.510786038,6.523586719,6.380891814,6.591389393,6.436417203
SCO7284,10.26769541,10.19418571,9.951048217,9.424504805,8.933246363,9.148426355,9.211767963,9.098833482,9.373398113
SCO7285,8.605035899,8.74404063,8.544745648,8.309899532,8.332357602,8.040534551,8.001104974,7.889563362,7.905736189
SCO7286,10.33563494,10.12073569,9.907166524,9.648612893,9.655008985,9.818202205,9.820576759,9.830430723,9.826262627
SCO7287,5.556554488,6.110573304,4.934647939,6.03939837,5.437785632,5.7407705,5.635495414,5.670571152,5.503077872
SCO7288,8.192503285,8.206818333,7.525474476,7.747675308,6.924189029,7.366640386,7.49631567,7.200757246,7.454072214
SCO7289,6.120243921,6.799947958,5.738393052,6.51227647,5.945454656,6.186444641,6.219318384,5.948153162,6.165826593
SCO7290,7.792262752,7.713632058,7.400837979,6.952557112,7.027700396,6.759273899,6.853454368,6.754174999,6.818946152
SCO7291,8.002801502,7.743774114,7.621698784,7.775230438,8.187201609,7.888194476,7.784386781,8.025255027,7.774328325
SCO7292,8.685792051,8.659081212,8.238761497,8.406916128,8.489618176,8.658741732,8.713995183,8.596108163,8.701075501
SCO7293,9.438537497,9.338966285,8.966806502,9.214400576,8.784812551,9.107640393,9.153504981,8.910470115,9.190687296
SCO7294,7.280750533,7.474638321,7.419276875,7.89694482,8.28337794,8.084857023,8.033661807,8.075573194,7.7992614
SCO7295,9.130213835,9.079302611,9.200480939,9.500872641,9.753240459,9.516990204,9.589862244,9.645841471,9.389780542
SCO7296,7.743979025,7.278474765,6.069599536,6.799425932,6.428229923,7.112006132,7.186600985,7.250170739,7.820046882
SCO7297,9.167560681,8.933124178,9.082279679,9.174314997,9.290316977,9.422003677,9.473856183,9.427832416,9.426842466
SCO7298,9.547826444,9.02814373,9.065212654,9.414648975,9.598415029,9.594554228,9.634863263,9.675539045,9.484123086
SCO7299,8.531083922,8.482826236,8.021762025,8.26397864,8.080594062,8.375272837,8.542435588,8.409845812,8.375923497
SCO7300,8.740554401,8.419590746,8.221920223,8.245705057,8.35139149,8.475025256,8.423134541,8.509331514,8.587813229
SCO7301,8.387924653,8.272446057,7.720856112,7.909599429,7.430951831,7.883851692,7.877975833,7.727739944,8.127696496
SCO7302,4.7999888,3.985145438,5.137724516,5.024344972,5.357715398,5.036515574,5.650773471,5.41979089,5.056010914
SCO7303,7.506619786,7.568931665,6.49729312,6.703829652,6.081443242,6.71219468,6.473993462,6.367180146,6.519211607
SCO7304,8.52650985,8.363061632,8.550644995,8.538717073,8.593882677,8.302292185,8.473473813,8.511163323,8.262479468
SCO7305,6.390339061,6.792476978,5.097318732,5.779722989,5.343510096,5.450678594,5.495680806,5.445082632,5.499242831
SCO7306,5.961406801,6.390993783,4.524717853,5.248286906,4.572433045,5.170744163,4.80529488,4.704525582,5.121216246
SCO7307,7.542863952,7.724061892,6.958541349,7.628810735,7.495983617,7.442895754,7.494851838,7.442287031,7.227670549
SCO7308,4.273963822,3.812343421,3.055840959,4.806996749,4.984197103,4.550359398,3.96067706,4.897711858,4.245901808
SCO7309,6.921538751,6.422955144,6.860032076,6.846397622,7.454386239,7.245949878,7.221730388,7.148734717,7.017227586
SCO7310,5.507751999,5.612986299,5.148047203,5.24928086,5.280504076,5.544268007,5.270144887,5.235511347,5.247812091
SCO7311,7.749764152,8.17726231,8.525625032,8.616137145,8.412724592,8.286050222,8.258071816,8.197016101,7.8997488
SCO7312,4.606150109,4.901749222,3.789107877,5.053373048,4.206638859,4.423647023,4.393056178,3.797904621,4.166719898
SCO7313,2.356539682,3.500691154,3.014912851,3.909767292,3.962353069,4.031761358,4.129305052,4.005689742,2.738293877
SCO7314,7.614294918,7.76965257,7.835215234,8.113153164,7.49775394,7.872486495,7.784229824,7.791224791,7.837546082
SCO7315,5.668442888,5.956336993,4.750673317,5.276833455,4.423070186,5.182201097,4.896332171,4.86547083,5.217858078
SCO7316,6.583191632,6.634576514,6.128127031,6.941718645,6.650771804,6.653526871,6.702099912,6.907664473,6.523007822
SCO7317,6.300207739,6.359087867,5.547454581,6.472514171,5.613654387,6.15317196,6.081921603,5.867310419,6.027929902
SCO7318,10.797216,10.46895962,10.382144,9.798767809,9.907114791,9.703870466,9.683722287,9.652505599,9.255133021
SCO7319,8.673864801,8.739397777,8.852825525,8.968579396,8.872271666,8.805965321,8.954885543,8.894524624,8.818150341
SCO7320,8.797489139,8.785699132,8.776980191,8.694609864,8.952240785,8.760676964,8.83666687,8.861958659,8.637558367
